"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv000220","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"asv000221","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"asv000222","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia"
"asv000223","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"asv000224","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"asv000225","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"asv000226","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"asv000227","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"asv000228","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA
"asv000229","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"asv000230","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA
"asv000231","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"asv000232","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"asv000233","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"asv000234","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"asv000235","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"asv000236","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"asv000237","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"asv000238","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter"
"asv000239","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Amb-16S-1323",NA
"asv000240","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"asv000241","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Plantactinospora"
"asv000242","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Caenimonas"
"asv000243","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella"
"asv000244","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"asv000245","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina"
"asv000246","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"asv000247","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura"
"asv000248","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"asv000249","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA
